Region,Month,From_date,to_date,Holiday,Country
Africa,Jan-19,01/01/2019,01/01/2019, Independence Day  , Sudan 
Africa,Jan-19,06/01/2019,06/01/2019, Epiphany   , Ethiopia 
Africa,Jan-19,11/01/2019,11/01/2019, Proclamation of Independence , Morocco 
Africa,Jan-19,12/01/2019,12/01/2019, Revolution Day , Tanzania 
Africa,Jan-19,14/01/2019,14/01/2019, Revolution Day , Tunisia 
Africa,Jan-19,21/01/2019,21/01/2019, Thaipoosam , Mauritius 
Africa,Jan-19,25/01/2019,25/01/2019, Revolution Day (Beginning) , Egypt 
Africa,Jan-19,26/01/2019,26/01/2019, NRM Liberation Day , Uganda 
All Regions,Jan-19,01/01/2019,01/01/2019, New Year , Networkwide 
Europe & Russia,Jan-19,01/01/2019,01/01/2019, Restoration Day ,Czech Republic
Europe & Russia,Jan-19,06/01/2019,06/01/2019, Epiphany   ," Austria, Armenia, Poland, Italy,Cyprus,Croatia, Finland,Sweden, Greece, Spain "
Europe & Russia,Jan-19,07/01/2019,07/01/2019, Orthodox / Coptic Christmas , Russia 
Far East & Australia,Jan-19,01/01/2019,01/01/2019, Founder's Day , Taiwan 
Far East & Australia,Jan-19,04/01/2019,04/01/2019, Independence Day  , Myanmar 
Far East & Australia,Jan-19,14/01/2019,14/01/2019, Coming of Age , Japan 
Far East & Australia,Jan-19,21/01/2019,21/01/2019, Thaipoosam , Malaysia 
MIddle East & GCC,Jan-19,07/01/2019,07/01/2019, Orthodox / Coptic Christmas , Lebanon 
West -  South East Asia & Iran,Jan-19,15/01/2019,15/01/2019, Pongal/Magar Sankranti ," India,Nepal "
West -  South East Asia & Iran,Jan-19,26/01/2019,26/01/2019, Republic Day , India  
Africa,Feb-19,01/02/2019,01/02/2019, Abolition of Slavery , Mauritius 
Africa,Feb-19,04/02/2019,04/02/2019, Heroes Day , Mozambique 
Africa,Feb-19,04/02/2019,04/02/2019, Liberation Day  , Angola 
Africa,Feb-19,05/02/2019,05/02/2019, Chinese New Year , Mauritius 
Americas,Feb-19,05/02/2019,05/02/2019, Constitution Day , Mexico 
Far East & Australia,Feb-19,06/02/2019,06/02/2019, Waitangi Day , New Zealand 
