Region,Month,From_date,to_date,Holiday,Country
Africa,Jan-19,01/01/2019,01/01/2019, Independence Day  ,REPUBLIC OF THE SUDAN
Africa,Jan-19,06/01/2019,06/01/2019, Epiphany   ,ETHIOPIA
Africa,Jan-19,11/01/2019,11/01/2019, Proclamation of Independence ,MOROCCO
Africa,Jan-19,12/01/2019,12/01/2019, Revolution Day ,TANZANIA
Africa,Jan-19,14/01/2019,14/01/2019, Revolution Day ,TUNISIA
Africa,Jan-19,21/01/2019,21/01/2019, Thaipoosam ,MAURITIUS
Africa,Jan-19,25/01/2019,25/01/2019, Revolution Day (Beginning) ,EGYPT
Africa,Jan-19,26/01/2019,26/01/2019, NRM Liberation Day ,UGANDA
All Regions,May-19,05/05/2019,05/05/2019, Tentative start of Ramadan ,
Europe & Russia,Jan-19,01/01/2019,01/01/2019, Restoration Day ,CZECH REPUBLIC
All Regions,Jun-19,03/06/2019,04/06/2019, Eid al Fitr ,
Europe & Russia,Jan-19,07/01/2019,07/01/2019, Orthodox / Coptic Christmas ,RUSSIAN FEDERATION
Far East & Australia,Jan-19,01/01/2019,01/01/2019, Founder's Day ,TAIWAN
All Regions,Aug-19,12/08/2019,15/08/2019,Eid al Adha,
Far East & Australia,Jan-19,14/01/2019,14/01/2019, Coming of Age ,JAPAN
Far East & Australia,Jan-19,21/01/2019,21/01/2019, Thaipoosam ,MALAYSIA
MIddle East & GCC,Jan-19,07/01/2019,07/01/2019, Orthodox / Coptic Christmas ,LEBANON
All Regions,Jun-18,14/06/2018,16/06/2018,Eid al Fitr,
West -  South East Asia & Iran,Jan-19,26/01/2019,26/01/2019, Republic Day ,INDIA
Africa,Feb-19,01/02/2019,01/02/2019, Abolition of Slavery ,MAURITIUS
Africa,Feb-19,04/02/2019,04/02/2019, Heroes Day ,MOZAMBIQUE
Africa,Feb-19,04/02/2019,04/02/2019, Liberation Day  ,ANGOLA
Africa,Feb-19,05/02/2019,05/02/2019, Chinese New Year ,MAURITIUS
Americas,Feb-19,05/02/2019,05/02/2019, Constitution Day ,MEXICO
Far East & Australia,Feb-19,06/02/2019,06/02/2019, Waitangi Day ,NEW ZEALAND
Far East & Australia,Feb-19,11/02/2019,11/02/2019, National Day ,JAPAN
All Regions,Aug-18,22/08/2018,26/08/2018,Eid al Adha,
All Regions,May-18,15/05/2018,15/05/2018,Tentative start of Ramadan,
Far East & Australia,Feb-19,25/02/2019,25/02/2019, People Power Day ,PHILIPPINES
Far East & Australia,Feb-19,28/02/2019,28/02/2019, Peace Memorial Day ,TAIWAN
MIddle East & GCC,Feb-19,12/02/2019,12/02/2019, National Sports Day ,QATAR
MIddle East & GCC,Feb-19,14/02/2019,14/02/2019, Rafik Hariri Day ,LEBANON
MIddle East & GCC,Feb-19,25/02/2019,25/02/2019, National Day ,KUWAIT
MIddle East & GCC,Feb-19,26/02/2019,26/02/2019, Liberation Day ,KUWAIT
West -  South East Asia & Iran,Feb-19,04/02/2019,04/02/2019, National Day ,SRI LANKA
West -  South East Asia & Iran,Feb-19,05/02/2019,05/02/2019, Kashmir Day  ,PAKISTAN
West -  South East Asia & Iran,Feb-19,11/02/2019,11/02/2019, Islamic Revolution ,IRAN
West -  South East Asia & Iran,Feb-19,21/02/2019,21/02/2019, Martyr's Day ,BANGLADESH
Africa,Mar-19,04/03/2019,04/03/2019, Mahasivaratri ,MAURITIUS
Africa,Mar-19,06/03/2019,06/03/2019, Independence Day ,GHANA
Africa,Mar-19,12/03/2019,12/03/2019, Independence Day ,MAURITIUS
Africa,Mar-19,12/03/2019,12/03/2019, Youth Day ,ZAMBIA
Africa,Mar-19,20/03/2019,20/03/2019, Independence Day ,TUNISIA
Africa,Mar-19,21/03/2019,21/03/2019, Human Rights Day ,SOUTH AFRICA
Americas,Mar-19,05/03/2019,05/03/2019, Mardi Gras ,PANAMA
Americas,Mar-19,18/03/2019,18/03/2019,Benito Juarezs day,MEXICO
Americas,Mar-19,24/03/2019,24/03/2019, Memorial Day ,ARGENTINA
Europe & Russia,Mar-19,05/03/2019,05/03/2019, Carnival ,PORTUGAL
Europe & Russia,Dec-18,26/12/2018,26/12/2018,Synaxis of Mother of God,
Europe & Russia,Mar-19,15/03/2019,15/03/2019, National Day/Revolution day ,HUNGARY
Europe & Russia,Mar-19,17/03/2019,17/03/2019, St.Patrick's Day ,IRELAND
Europe & Russia,Mar-19,19/03/2019,19/03/2019, St Joseph's Day ,MALTA
Europe & Russia,Mar-19,25/03/2019,25/03/2019, Independence Day ,GREECE
Europe & Russia,Mar-19,31/03/2019,31/03/2019, Freedom Day ,MALTA
Far East & Australia,Mar-19,01/03/2019,01/03/2019, Mar 1st Movement ,SOUTH KOREA
Africa,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
Far East & Australia,Mar-19,11/03/2019,11/03/2019, Canberra day/Adelaide Cup Day ,AUSTRALIA
Africa,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
Far East & Australia,Mar-19,21/03/2019,21/03/2019, Spring Equinox ,JAPAN
Africa,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
MIddle East & GCC,Mar-19,21/03/2019,21/03/2019, Nowrooz ,IRAQ
MIddle East & GCC,Mar-19,25/03/2019,25/03/2019, Feast of Annunciation ,LEBANON
Africa,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Africa,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
West -  South East Asia & Iran,Mar-19,17/03/2019,17/03/2019, Sh.Mujibur Rahman's birthday ,BANGLADESH
West -  South East Asia & Iran,Mar-19,20/03/2019,20/03/2019, Oil Nationalisation Day ,IRAN
West -  South East Asia & Iran,Mar-19,20/03/2019,20/03/2019, Imam Ali's Birthday ,IRAN
West -  South East Asia & Iran,Mar-19,23/03/2019,23/03/2019, Pakistan Day ,PAKISTAN
West -  South East Asia & Iran,Mar-19,26/03/2019,26/03/2019, Independence Day ,BANGLADESH
Africa,Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
Africa,Apr-19,04/04/2019,04/04/2019, Peace Day ,ANGOLA
Africa,Apr-19,04/04/2019,04/04/2019, Independence Day ,SENEGAL
Africa,Apr-19,06/04/2019,06/04/2019, Ugadi/Gudi Padwa ,MAURITIUS
Africa,Apr-19,07/04/2019,07/04/2019, Karume Day ,TANZANIA
Africa,Apr-19,09/04/2019,09/04/2019, Martyr's Day ,TUNISIA
Africa,Apr-19,18/04/2019,18/04/2019, Independence Day ,ZIMBABWE
Africa,Apr-19,25/04/2019,25/04/2019, Liberation Day ,EGYPT
Africa,Apr-19,26/04/2019,26/04/2019, Union Day ,TANZANIA
Africa,Apr-19,27/04/2019,27/04/2019, Freedom Day  ,SOUTH AFRICA
Africa,Apr-19,29/04/2019,29/04/2019, Sham El Nassim ,EGYPT
Americas,Apr-19,02/04/2019,02/04/2019, Malvinas Day ,ARGENTINA
Americas,Apr-19,21/04/2019,21/04/2019, Tirandentes ,BRAZIL
Europe & Russia,Apr-19,01/04/2019,01/04/2019, National Day ,CYPRUS
Europe & Russia,Apr-19,23/04/2019,23/04/2019, National Sovereignty Day ,TURKEY
Africa,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Europe & Russia,Apr-19,27/04/2019,27/04/2019, King's birthday ,NETHERLANDS
Far East & Australia,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj ,MALAYSIA
Far East & Australia,Apr-19,09/04/2019,09/04/2019, Day of Valour ,PHILIPPINES
Americas,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
Far East & Australia,Apr-19,30/04/2019,30/04/2019, Reunification Day ,VIETNAM
Americas,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
UAE ,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj ,UAE
West -  South East Asia & Iran,Apr-19,01/04/2019,01/04/2019, Islamic Republic Day ,IRAN
West -  South East Asia & Iran,Apr-19,02/04/2019,02/04/2019, Sizdah bedar  ,IRAN
Americas,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
West -  South East Asia & Iran,Apr-19,06/04/2019,06/04/2019, Ugadi/Gudi Padwa ,INDIA
West -  South East Asia & Iran,Apr-19,14/04/2019,14/04/2019, Sinhala New Year ,SRI LANKA
Americas,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Americas,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
West -  South East Asia & Iran,Apr-19,17/04/2019,17/04/2019, Mahavir Jayanti ,INDIA
