SCH_DEP_DATE,cargo_diff
2019-01-01,-165779.9400000004
2019-01-02,-311445.44999999925
2019-01-03,714169.25
2019-01-04,272153.7599999998
2019-01-05,834375.7000000002
2019-01-06,-252917.67000000086
2019-01-07,-599288.6499999994
2019-01-08,877583.79
2019-01-09,339355.1899999995
2019-01-10,90440.0700000003
2019-01-11,336431.2400000002
2019-01-12,81424.34999999963
2019-01-13,100394.11000000034
2019-01-14,-966183.1299999999
2019-01-15,368158.8599999994
2019-01-16,672423.3100000005
2019-01-17,-169760.5700000003
2019-01-18,221858.9299999997
2019-01-19,273687.25
2019-01-20,-297584.39999999944
2019-01-21,-877724.75
2019-01-22,596987.4799999995
2019-01-23,343973.6900000004
2019-01-24,-197860.86000000034
2019-01-25,388489.53000000026
2019-01-26,-15569.830000000075
2019-01-27,24201.990000000224
2019-01-28,-854640.0700000003
2019-01-29,451474.9400000004
2019-01-30,394677.41000000015
2019-01-31,-67480.78000000026
2019-02-01,-356165.3300000001
2019-02-02,448040.28000000026
2019-02-03,-566669.6100000003
2019-02-04,-470896.5700000003
2019-02-05,563600.1500000004
2019-02-06,-91436.24000000022
2019-02-07,-552632.4699999997
2019-02-08,434180.4500000002
2019-02-09,-346878.1299999999
2019-02-10,173908.52999999933
2019-02-11,-1023346.96
2019-02-12,194163.45999999996
2019-02-13,657607.9100000001
2019-02-14,-47251.62999999989
2019-02-15,236099.4400000004
2019-02-16,-144977.3200000003
2019-02-17,500941.75
2019-02-18,-1188481.1900000004
2019-02-19,640199.0200000005
2019-02-20,619753.0099999998
2019-02-21,-350847.0800000001
2019-02-22,-32499.08999999985
2019-02-23,758470.2400000002
2019-02-24,-110886.94000000041
2019-02-25,-902660.6799999997
2019-02-26,510673.1899999995
2019-02-27,403752.8900000006
2019-02-28,-682972.5600000005
2019-03-01,127285.37000000011
2019-03-02,516337.53000000026
2019-03-03,217824.0700000003
2019-03-04,-916955.1600000001
2019-03-05,415670.51999999955
2019-03-06,46277.919999999925
2019-03-07,99594.97000000067
2019-03-08,-41092.79000000004
2019-03-09,548359.3899999997
2019-03-10,-101960.41000000015
2019-03-11,-1284885.6399999997
2019-03-12,472511.21999999974
2019-03-13,876142.8700000001
