CNTRY_MCY_ID,CNTRY_OWNER_CARR_CODE,CNTRY_CNTRY_CODE,CNTRY_COMMNTY_CODE,CNTRY_RGN_ID,CNTRY_INACTIVE,CNTRY_DTL_ID,CNTRY_CREATED_DATE,CNTRY_CREATED_BY,CNTRY_MODIFIED_DATE,CNTRY_MODIFIED_BY,CNTRY_ISO_CNTRY_CODE,CNTRY_GST_APPL_IND,CNTRY_TAX_ID_LENGTH,CNTRY_CMRCL_RGN,CTY_CCY_ID,CTY_OWNR_CARR_CODE,CTY_CTY_CODE,CTY_CTY_NAME,CTY_MTY_ID,CTY_CITY_TYP,CTY_OFFLN_CTY_IND,CTY_REPORTING_CITY,CTY_SALES_LEVEL,CTY_ADRS_ID
296,EK,LK,,76,N,1480704,2005-10-18T09:54:39.000,S140475,2006-04-20T12:14:45.000,SYS_TEMP,,,,WSE,16483,EK,GOY,"GAL OYA, SRI LANKA",48,,N,,,
287,EK,ID,,76,N,1480689,2005-10-18T09:54:39.000,S140475,2006-04-20T12:11:40.000,SYS_TEMP,,,,WSE,20782,EK,OTI,"MOROTAI I., INDONESIA",48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,18347,EK,JNA,"JANUARIA, BRAZIL",48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,22259,EK,OUS,"OURINHOS, BRAZIL",48,,N,,,
487,EK,TO,,76,N,1480865,,,2006-04-20T12:44:58.000,SYS_TEMP,,,,,16085,EK,EUA,"EUA, TONGA",48,,N,,,
274,EK,BD,,76,N,1480660,2005-10-18T09:51:06.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,WSE,23718,EK,ZHM,"SHAMSHERNAGAR, BANGLADESH",48,,N,,,
599,EK,TL,,74,N,2352344908,2011-05-29T10:25:31.172,BERNASCHINA,,,,,,,26097,EK,VIQ,VIQUEQUE,48,,N,,,
328,EK,AR,,68,N,1480657,2005-10-20T09:00:55.000,S140475,2006-04-20T11:41:30.000,SYS_TEMP,,,,AMR,16557,EK,GGS,"GOBERNADOR GREGORES, ARGE",48,,N,,,
328,EK,AR,,68,N,1480657,2005-10-20T09:00:55.000,S140475,2006-04-20T11:41:30.000,SYS_TEMP,,,,AMR,28040,EK,CVI,CALETA OLIVIA,48,,N,,,
423,EK,LA,,76,N,1480704,,,2006-04-20T12:14:45.000,SYS_TEMP,,,,,26063,EK,VNG,VIENGXAY,48,,N,,,
364,EK,CA,,68,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AMR,30946,EK,UZM,Hope Bay,48,,N,,,
364,EK,CA,,68,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AMR,30839,EK,QJT,CDN CTO YVR,48,,N,,,
332,EK,CL,,68,N,1480663,2005-10-20T09:02:59.000,S140475,2006-04-20T11:56:21.000,SYS_TEMP,,,,AMR,21930,EK,ZPC,"PUCON, CHILE",48,,N,,,
332,EK,CL,,68,N,1480663,2005-10-20T09:02:59.000,S140475,2006-04-20T11:56:21.000,SYS_TEMP,,,,AMR,16157,EK,ESR,"EL SALVADOR, CHILE",48,,N,,,
301,EK,MY,,76,N,1480722,2005-10-18T09:58:04.000,S140475,2006-04-20T12:18:30.000,SYS_TEMP,,,,FEA,30734,EK,LKH,Long Akah,48,,N,,,
301,EK,MY,,76,N,1480722,2005-10-18T09:58:04.000,S140475,2006-04-20T12:18:30.000,SYS_TEMP,,,,FEA,17853,EK,KGU,"KENINGAU, MALAYSIA",48,,N,,,
333,EK,CO,,68,N,1480663,2005-10-20T09:03:29.000,S140475,2006-04-20T11:56:21.000,SYS_TEMP,,,,,22124,EK,SJR,"SAN JUAN DE URABA, COLOMB",48,,N,,,
333,EK,CO,,68,N,1480663,2005-10-20T09:03:29.000,S140475,2006-04-20T11:56:21.000,SYS_TEMP,,,,,16158,EK,TBD,"EL TAMBO/PIENDAMO, COLOMB",48,,N,,,
283,EK,GB,,71,N,1480684,2005-10-18T09:53:24.000,S140475,2006-04-20T12:08:53.000,SYS_TEMP,,,,EUR,17961,EK,HEN,HENDON,48,,N,,,
292,EK,JP,,75,N,1480700,2005-10-18T09:54:39.000,S140475,2006-04-20T12:12:16.000,SYS_TEMP,,,,FEA,19527,EK,MMB,"MEMANBETSU, JAPAN",48,,N,,,
