SCH_DEP_DATE,CHG_WT_BU_sum,cargo_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17
2019-01-18,7333221.02,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994,-252917.67000000086,834375.7000000002,272153.7599999998,714169.25,-311445.44999999925,-165779.9400000004
2019-01-19,7606908.27,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994,-252917.67000000086,834375.7000000002,272153.7599999998,714169.25,-311445.44999999925
2019-01-20,7309323.87,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994,-252917.67000000086,834375.7000000002,272153.7599999998,714169.25
2019-01-21,6431599.12,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994,-252917.67000000086,834375.7000000002,272153.7599999998
2019-01-22,7028586.6,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994,-252917.67000000086,834375.7000000002
2019-01-23,7372560.29,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994,-252917.67000000086
2019-01-24,7174699.43,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79,-599288.6499999994
2019-01-25,7563188.96,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995,877583.79
2019-01-26,7547619.13,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003,339355.1899999995
2019-01-27,7571821.12,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002,90440.0700000003
2019-01-28,6717181.05,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963,336431.2400000002
2019-01-29,7168655.99,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034,81424.34999999963
2019-01-30,7563333.4,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999,100394.11000000034
2019-01-31,7495852.62,-67480.78000000026,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994,-966183.1299999999
2019-02-01,7139687.29,-356165.3300000001,-67480.78000000026,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005,368158.8599999994
2019-02-02,7587727.57,448040.28000000026,-356165.3300000001,-67480.78000000026,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003,672423.3100000005
2019-02-03,7021057.96,-566669.6100000003,448040.28000000026,-356165.3300000001,-67480.78000000026,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997,-169760.5700000003
2019-02-04,6550161.39,-470896.5700000003,-566669.6100000003,448040.28000000026,-356165.3300000001,-67480.78000000026,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25,221858.9299999997
2019-02-05,7113761.54,563600.1500000004,-470896.5700000003,-566669.6100000003,448040.28000000026,-356165.3300000001,-67480.78000000026,394677.41000000015,451474.9400000004,-854640.0700000003,24201.990000000224,-15569.830000000075,388489.53000000026,-197860.86000000034,343973.6900000004,596987.4799999995,-877724.75,-297584.39999999944,273687.25
