,Unnamed: 0,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,ORG_AIRPORT_CODE,ORG_AIRPORT_NAME,ORG_CNTRY_NAME,ORG_REGION_NAME,DST_AIRPORT_CODE,DST_AIRPORT_NAME,DST_CNTRY_NAME,DST_REGION_NAME,org_hday_flg,dst_hday_flg,EST_CHG_WT,SCH_DEP_DAY,SCH_DEP_MONTH,SCH_DEP_YEAR,Flight_No,ISO_CODE,org,dst,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,CHG_WT_BU_PREDICT
4939,4939,2019-03-29,17542.55,64.784565,18377.5,17000.0,90.0,28000.0,120.0,0.0,15761.19,73.991737,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,1,16696.758532857366,29,3,2019,1,16,9,5,14,3,5,13915.636
4386,4386,2021-05-30,32186.0,119.663409,32423.527,20000.0,100.0,55000.0,250.0,0.0,49349.79,125.536826,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,52279.14435884722,30,5,2021,1,16,9,5,18,3,5,28007.373
3064,3064,2018-12-21,23875.0,101.38,24890.0,20000.0,100.0,40000.0,2000.0,0.0,23406.06,103.504192,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,23894.670335064227,21,12,2018,1,9,13,5,18,3,5,21929.34
8384,8384,2020-09-24,6599.0,35.728988,6632.0,17000.0,90.0,17000.0,90.0,0.0,17000.0,65.0,MEX,Benito Juarez Intl,MEXICO,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17426.859792857485,24,9,2020,1,10,10,5,14,3,4,5508.7134
6749,6749,2018-01-05,13106.6,49.588698,13773.8,21000.0,120.0,21000.0,95.0,0.0,18165.28,90.958084,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,19243.552919655383,5,1,2018,1,16,9,5,18,3,5,9164.438
8059,8059,2021-04-26,431.4,3.450882,654.0,20000.0,100.0,20000.0,100.0,0.0,37975.3,109.342275,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,43027.85942463966,26,4,2021,1,2,6,16,16,3,5,2091.645
5576,5576,2021-02-26,28272.0,102.5,28957.5,20000.0,100.0,46198.16,950.0,0.0,46198.16,122.05485,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,47162.56402344311,26,2,2021,1,9,13,5,18,3,5,19066.248
6923,6923,2018-08-08,14109.38,61.966294,18829.99,15000.0,60.0,21035.71,74.206108,0.0,21035.71,74.206108,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,23615.78672449876,8,8,2018,1,2,6,10,4,3,5,11432.5205
7128,7128,2021-06-13,10139.3,44.70024933,11307.921,17000.0,90.0,17000.0,90.0,0.0,13258.6,77.492934,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,0,13812.716905651952,13,6,2021,1,2,6,4,14,3,5,9494.396
1078,1078,2019-03-13,22647.0,112.03,23033.59,20000.0,100.0,60000.0,9100.0,0.0,34438.14,111.540599,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,1,35157.049168155114,13,3,2019,1,9,13,5,18,3,5,22969.85
6586,6586,2018-09-19,16027.5,59.123941,17409.5,17000.0,90.0,40000.0,150.0,0.0,16159.1,79.336766,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17118.28807395225,19,9,2018,1,16,9,5,14,3,5,15600.459
1501,1501,2018-04-07,2161.8,16.691446,2893.3,11000.0,70.0,28047.98,79.200898,0.0,28047.98,79.200898,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,31488.12727181572,7,4,2018,1,2,6,10,7,3,5,10731.965
856,856,2020-02-29,7426.0,44.714835,7583.0,13000.0,60.0,7426.0,44.71,0.0,16812.84,66.00503,ADD,Bole Intl,ETHIOPIA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17254.37268869491,29,2,2020,1,5,1,5,11,3,5,15224.484
6890,6890,2019-11-06,9468.77,55.92388,12224.56,15000.0,60.0,43080.0,106.766467,0.0,43080.0,106.766467,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,1,0,48363.85803433335,6,11,2019,1,2,6,10,7,3,5,16321.517
6133,6133,2021-03-22,16648.9,87.367363,17041.5,17000.0,90.0,40000.0,125.0,0.0,17000.0,65.0,MEX,Benito Juarez Intl,MEXICO,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17426.859792857485,22,3,2021,1,10,10,5,14,3,4,9448.197
8318,8318,2018-09-15,936.0,3.50046,936.0,20000.0,120.0,20000.0,120.0,0.0,37159.99,113.424251,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,38042.61227325632,15,9,2018,1,14,4,5,16,3,5,5002.1606
5559,5559,2018-04-03,256.0,1.722666,297.0,21000.0,120.0,31851.03,112.177246,0.0,31851.03,112.177246,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,36088.764048473095,3,4,2018,1,2,6,16,18,3,5,480.2412
7490,7490,2020-10-28,18815.0,95.54224,19272.5,20000.0,100.0,49849.71,110.0,0.0,49849.71,128.917006,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,55963.88805693333,28,10,2020,1,2,6,10,18,3,5,17198.762
8047,8047,2021-03-25,7649.7,70.163189,12120.047,20000.0,100.0,26676.33,140.0,0.0,26676.33,100.031916,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,33774.285240415185,25,3,2021,1,17,15,5,15,3,5,10937.472
1183,1183,2019-03-28,3205.0,13.674648,3205.0,20000.0,100.0,20000.0,100.0,0.0,23661.43,98.443114,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,1,24223.43513334625,28,3,2019,1,14,4,5,15,3,5,4701.553
3973,3973,2018-01-18,2133.6,17.279519,3206.0,7000.0,90.0,125000.0,1100.0,0.0,21092.91,84.282635,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,26705.24614481849,18,1,2018,1,17,15,5,15,3,5,3896.267
6796,6796,2018-04-27,14845.2,74.533354,15907.63,17000.0,90.0,24000.0,120.0,0.0,16098.12,83.078563,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17053.688361916953,27,4,2018,1,16,9,5,14,3,5,15817.437
6994,6994,2019-06-30,2648.0,13.987036,2648.0,20000.0,100.0,20000.0,100.0,0.0,27127.02,102.616048,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,27771.33965829565,30,6,2019,1,14,4,5,15,3,5,4199.3457
8169,8169,2020-03-16,1067.7,2.847809,1110.0,10000.0,90.0,42670.37,113.395689,0.0,42670.37,113.395689,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,54023.96985245178,16,3,2020,1,17,15,5,15,3,5,13196.639
95,95,2018-10-22,13039.4,44.868404,13145.4,17000.0,90.0,17000.0,90.0,0.0,20299.44,84.607425,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,21504.39453063037,22,10,2018,1,16,9,5,14,3,5,16146.391
