Flight_No,org,dst,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,Ratio,count,OPN_SUFX,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,ISO_CODE,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,EST_WT_BU,EST_VOL_BU
6600,MUC,DWC,2018-01-19T00:00:00.000Z,13343.1,42.174486,13565,1.016630318,10,,388L,J,J,15000,60,16000,60,,GB,39915.06,90.498204,21662.1,27.677246
6600,MUC,DWC,2019-02-10T00:00:00.000Z,8771.4,69.009161,12379.77,1.411379027,18,,388R,J,J,15000,60,15000,70,,GB,25538.53,83.72,5002,6
6600,LIS,DWC,2018-07-24T00:00:00.000Z,14635.2,50.045059,15032.2,1.02712638,9,,77WEJ,J,J,17000,90,17000,90,,TR,16971.62,86.757365,707.84,0.885269
6600,LIS,DWC,2019-06-17T00:00:00.000Z,6509.6,37.94,6509.6,1,6,,77WER,J,J,20000,100,20000,100,,TR,25584.45,98.077126,3139.68,3.95018
6600,LIS,DWC,2019-10-12T00:00:00.000Z,9936,52.44,11709.34,1.178476248,5,,77WER,J,J,20000,100,20000,100,,TR,21075.26,84.050299,531.6,0.788024
6600,LIS,DWC,2021-03-06T00:00:00.000Z,33739.3,111.33404,33841,1.003014289,21,,77WEJ,J,J,17000,90,50000,160,,TR,44059.15,114.290898,28180.1,41.797006
6600,PHX,DWC,2021-04-15T00:00:00.000Z,13454.1,39.24433,15089.6,1.121561457,11,,77LJ,J,J,13000,60,35000,120,,US,24815.01,59.549222,16108.14,32.264311
6600,PHX,DWC,2021-05-25T00:00:00.000Z,6087.7,27.427243,7128,1.170885556,11,,77LJ,J,J,13000,60,24932.68,56.968144,,US,24932.68,56.968144,17410.4,37.188024
6600,DWC,ICN,2018-02-19T00:00:00.000Z,10852.28,55.327146,11467.85,1.056722643,36,,388L,J,J,15000,60,20062.54,72.327425,,AE,20062.54,72.327425,1887.46,2.200359
6600,DWC,ICN,2018-02-26T00:00:00.000Z,6553.49,43.29703,8662.69,1.321843781,27,,388L,J,J,15000,60,28437.92,82.014072,,AE,28437.92,82.014072,10129.62,11.794132
